Status	Minha Nota	Nota de Corte	Diferença	Categoria	Tipo	Turno	Curso	Estado	Cidade
Aprovado	748.14	665.61	82.53	Ampla concorrência	Bacharelado	Vespertino	ADMINISTRAÇÃO	SE	São Cristóvão	
Aprovado	748.14	662.63	85.51	Ampla concorrência	Bacharelado	Noturno	ADMINISTRAÇÃO	SE	São Cristóvão	
Aprovado	748.14	642.55	105.59	Ampla concorrência	Bacharelado	Noturno	ADMINISTRAÇÃO	SE	Itabaiana	
Aprovado	744.43	574.54	169.89	Ampla concorrência	Bacharelado	Integral	AGROINDÚSTRIA	SE	Nossa Senhora da Glória	
Aprovado	703.37	590.35	113.02	Ampla concorrência	Bacharelado	Vespertino	ARQUEOLOGIA	SE	Laranjeiras	
Aprovado	745.74	715.39	30.35	Ampla concorrência	Bacharelado	Integral	ARQUITETURA E URBANISMO	SE	Laranjeiras	
Aprovado	737.86	661.29	76.57	Ampla concorrência	Licenciatura	Vespertino	ARTES VISUAIS	SE	São Cristóvão	
Aprovado	743.79	693.61	50.18	Ampla concorrência	Bacharelado	Vespertino	ASTRONOMIA	SE	São Cristóvão	
Aprovado	750.28	590.20	160.08	Ampla concorrência	Bacharelado	Noturno	BIBLIOTECONOMIA E DOCUMENTAÇÃO	SE	São Cristóvão	
Aprovado	768.51	757.31	11.20	Ampla concorrência	Bacharelado	Vespertino	CIÊNCIA DA COMPUTAÇÃO	SE	São Cristóvão	
Aprovado	765.79	605.11	160.68	Ampla concorrência	Bacharelado	Noturno	CIÊNCIAS ATUARIAIS	SE	São Cristóvão	
Aprovado	748.72	676.54	72.18	Ampla concorrência	Licenciatura	Vespertino	CIÊNCIAS BIOLÓGICAS 	SE	São Cristóvão	
Aprovado	748.72	662.53	86.19	Ampla concorrência	Licenciatura	Noturno	CIÊNCIAS BIOLÓGICAS 	SE	São Cristóvão	
Aprovado	748.72	695.65	53.07	Ampla concorrência	Bacharelado	Matutino	CIÊNCIAS BIOLÓGICAS 	SE	São Cristóvão	
Aprovado	748.72	628.91	119.81	Ampla concorrência	Licenciatura	Vespertino	CIÊNCIAS BIOLÓGICAS 	SE	Itabaiana	
Aprovado	750.53	669.24	81.29	Ampla concorrência	Bacharelado	Noturno	CIÊNCIAS CONTÁBEIS	SE	São Cristóvão	
Aprovado	750.53	655.59	94.94	Ampla concorrência	Bacharelado	Noturno	CIÊNCIAS CONTÁBEIS	SE	Itabaiana	
Aprovado	703.05	570.21	132.84	Ampla concorrência	Licenciatura	Noturno	CIÊNCIAS DA RELIGIÃO	SE	São Cristóvão	
Aprovado	738.36	656.10	82.26	Ampla concorrência	Bacharelado	Vespertino	CIÊNCIAS ECONÔMICAS	SE	São Cristóvão	
Aprovado	738.36	637.74	100.62	Ampla concorrência	Bacharelado	Noturno	CIÊNCIAS ECONÔMICAS	SE	São Cristóvão	
Aprovado	703.05	629.88	73.17	Ampla concorrência	Bacharelado	Vespertino	CIÊNCIAS SOCIAIS	SE	São Cristóvão	
Aprovado	737.86	687.92	49.94	Ampla concorrência	Bacharelado	Vespertino	CINEMA E AUDIOVISUAL	SE	São Cristóvão	
Aprovado	723.17	572.49	150.68	Ampla concorrência	Licenciatura	Matutino	DANÇA	SE	São Cristóvão	
Aprovado	747.89	694.03	53.86	Ampla concorrência	Bacharelado	Noturno	DESIGN	SE	São Cristóvão	
Reprovado	750.28	770.90	-20.62	Ampla concorrência	Bacharelado	Vespertino	DIREITO	SE	São Cristóvão	
Reprovado	750.28	761.42	-11.14	Ampla concorrência	Bacharelado	Noturno	DIREITO	SE	São Cristóvão	
Aprovado	739.27	596.21	143.06	Ampla concorrência	Bacharelado	Matutino	ECOLOGIA	SE	São Cristóvão	
Aprovado	719.15	652.26	66.89	Ampla concorrência	Bacharelado	Matutino	EDUCAÇÃO FÍSICA	SE	São Cristóvão	
Aprovado	719.15	622.63	96.52	Ampla concorrência	Licenciatura	Vespertino	EDUCAÇÃO FÍSICA	SE	São Cristóvão	
Aprovado	719.15	712.73	6.42	Ampla concorrência	Bacharelado	Integral	ENFERMAGEM	SE	Aracaju	
Aprovado	719.15	700.32	18.83	Ampla concorrência	Bacharelado	Integral	ENFERMAGEM	SE	Lagarto	
Aprovado	744.43	596.40	148.03	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA AGRÍCOLA	SE	São Cristóvão	
Aprovado	744.43	642.50	101.93	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA AGRONÔMICA	SE	São Cristóvão	
Aprovado	744.43	606.20	138.23	Ampla concorrência	Bacharelado	Integral	ENGENHARIA AGRONÔMICA	SE	Nossa Senhora da Glória	
Aprovado	761.2	628.53	132.67	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA AMBIENTAL E SANITÁRIA	SE	São Cristóvão	
Aprovado	743.79	675.03	68.76	Ampla concorrência	Bacharelado	Vespertino	ENGENHARIA CIVIL	SE	São Cristóvão	
Aprovado	743.79	603.35	140.44	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA DE ALIMENTOS	SE	São Cristóvão	
Aprovado	768.51	755.55	12.96	Ampla concorrência	Bacharelado	Vespertino	ENGENHARIA DE COMPUTAÇÃO	SE	São Cristóvão	
Aprovado	744.43	572.40	172.03	Ampla concorrência	Bacharelado	Vespertino	ENGENHARIA DE MATERIAIS	SE	São Cristóvão	
Aprovado	736.8	572.08	164.72	Ampla concorrência	Bacharelado	Vespertino	ENGENHARIA DE PESCA	SE	São Cristóvão	
Aprovado	761.2	656.95	104.25	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA DE PETRÓLEO	SE	São Cristóvão	
Aprovado	743.54	654.67	88.87	Ampla concorrência	Bacharelado	Vespertino	ENGENHARIA DE PRODUÇÃO	SE	São Cristóvão	
Aprovado	777.96	717.59	60.37	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA ELÉTRICA	SE	São Cristóvão	
Aprovado	777.96	690.55	87.41	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA ELETRÔNICA	SE	São Cristóvão	
Aprovado	744.43	571.46	172.97	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA FLORESTAL	SE	São Cristóvão	
Aprovado	744.43	673.57	70.86	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA MECÂNICA	SE	São Cristóvão	
Aprovado	744.11	658.30	85.81	Ampla concorrência	Bacharelado	Matutino	ENGENHARIA QUÍMICA	SE	São Cristóvão	
Aprovado	758.41	616.21	142.20	Ampla concorrência	Bacharelado	Noturno	ESTATÍSTICA	SE	São Cristóvão	
Aprovado	729.49	680.52	48.97	Ampla concorrência	Bacharelado	Vespertino	FARMÁCIA	SE	São Cristóvão	
Aprovado	729.49	671.09	58.40	Ampla concorrência	Bacharelado	Integral	FARMÁCIA	SE	Lagarto	
Aprovado	770.4	644.34	126.06	Ampla concorrência	Licenciatura	Noturno	FILOSOFIA	SE	São Cristóvão	
Aprovado	743.79	604.84	138.95	Ampla concorrência	Bacharelado	Vespertino	FÍSICA	SE	São Cristóvão	
Aprovado	753.89	584.14	169.75	Ampla concorrência	Licenciatura	Noturno	FÍSICA	SE	São Cristóvão	
Aprovado	753.89	578.39	175.50	Ampla concorrência	Licenciatura	Noturno	FÍSICA	SE	Itabaiana	
Aprovado	743.79	662.05	81.74	Ampla concorrência	Bacharelado	Vespertino	FÍSICA MÉDICA	SE	São Cristóvão	
Aprovado	729.17	699.71	29.46	Ampla concorrência	Bacharelado	Matutino	FISIOTERAPIA	SE	Aracaju	
Aprovado	729.17	683.14	46.03	Ampla concorrência	Bacharelado	Integral	FISIOTERAPIA	SE	Lagarto	
Aprovado	719.15	670.35	48.80	Ampla concorrência	Bacharelado	Matutino	FONOAUDIOLOGIA	SE	Aracaju	
Aprovado	719.15	655.53	63.62	Ampla concorrência	Bacharelado	Integral	FONOAUDIOLOGIA	SE	Lagarto	
Aprovado	747.89	651.45	96.44	Ampla concorrência	Bacharelado	Matutino	GEOGRAFIA	SE	São Cristóvão	
Aprovado	720.46	621.95	98.51	Ampla concorrência	Licenciatura	Matutino	GEOGRAFIA	SE	São Cristóvão	
Aprovado	720.46	630.50	89.96	Ampla concorrência	Licenciatura	Noturno	GEOGRAFIA	SE	São Cristóvão	
Aprovado	720.46	602.25	118.21	Ampla concorrência	Licenciatura	Vespertino	GEOGRAFIA	SE	Itabaiana	
Aprovado	744.11	591.78	152.33	Ampla concorrência	Bacharelado	Matutino	GEOLOGIA	SE	São Cristóvão	
Aprovado	730.8	663.59	67.21	Ampla concorrência	Licenciatura	Matutino	HISTÓRIA	SE	São Cristóvão	
Aprovado	730.8	657.24	73.56	Ampla concorrência	Licenciatura	Noturno	HISTÓRIA	SE	São Cristóvão	
Aprovado	757.91	705.33	52.58	Ampla concorrência	Bacharelado	Matutino	JORNALISMO	SE	São Cristóvão	
Aprovado	740.26	609.43	130.83	Ampla concorrência	Licenciatura	Noturno	LETRAS - ESPANHOL	SE	São Cristóvão	
Aprovado	740.26	663.53	76.73	Ampla concorrência	Licenciatura	Noturno	LETRAS - INGLÊS	SE	São Cristóvão	
Aprovado	740.26	655.85	84.41	Ampla concorrência	Licenciatura	Matutino	LETRAS - LÍNGUA PORTUGUESA	SE	São Cristóvão	
Aprovado	740.26	657.93	82.33	Ampla concorrência	Licenciatura	Noturno	LETRAS - LÍNGUA PORTUGUESA	SE	São Cristóvão	
Aprovado	740.26	645.84	94.42	Ampla concorrência	Licenciatura	Noturno	LETRAS - LÍNGUA PORTUGUESA	SE	Itabaiana	
Aprovado	740.26	638.83	101.43	Ampla concorrência	Licenciatura	Vespertino	LETRAS - PORTUGUÊS E ESPANHOL	SE	São Cristóvão	
Aprovado	740.26	608.15	132.11	Ampla concorrência	Licenciatura	Noturno	LETRAS - PORTUGUÊS E FRANCÊS	SE	São Cristóvão	
Aprovado	740.26	663.15	77.11	Ampla concorrência	Licenciatura	Matutino	LETRAS - PORTUGUÊS E INGLÊS	SE	São Cristóvão	
Aprovado	760.88	646.29	114.59	Ampla concorrência	Licenciatura	Vespertino	MATEMÁTICA	SE	São Cristóvão	
Aprovado	760.88	663.24	97.64	Ampla concorrência	Licenciatura	Noturno	MATEMÁTICA	SE	São Cristóvão	
Aprovado	751.42	653.33	98.09	Ampla concorrência	Bacharelado	Vespertino	MATEMÁTICA	SE	São Cristóvão	
Aprovado	760.88	609.29	151.59	Ampla concorrência	Licenciatura	Vespertino	MATEMÁTICA	SE	Itabaiana	
Aprovado	751.42	623.55	127.87	Ampla concorrência	Bacharelado	Vespertino	MATEMÁTICA APLICADA E COMPUTACIONAL	SE	São Cristóvão	
Reprovado	721.86	796.53	-74.67	Ampla concorrência	Bacharelado	Integral	MEDICINA	SE	Aracaju	
Reprovado	721.86	791.35	-69.49	Ampla concorrência	Bacharelado	Integral	MEDICINA	SE	Lagarto	
Aprovado	719.47	702.80	16.67	Ampla concorrência	Bacharelado	Integral	MEDICINA VETERINÁRIA	SE	São Cristóvão	
Aprovado	719.47	670.37	49.10	Ampla concorrência	Bacharelado	Integral	MEDICINA VETERINÁRIA	SE	Nossa Senhora da Glória	
Aprovado	720.46	537.90	182.56	Ampla concorrência	Bacharelado	Matutino	MUSEOLOGIA	SE	Laranjeiras	
Aprovado	729.17	689.19	39.98	Ampla concorrência	Bacharelado	Integral	NUTRIÇÃO	SE	São Cristóvão	
Aprovado	729.17	675.01	54.16	Ampla concorrência	Bacharelado	Integral	NUTRIÇÃO	SE	Lagarto	
Reprovado	729.17	750.60	-21.43	Ampla concorrência	Bacharelado	Integral	ODONTOLOGIA	SE	Aracaju	
Reprovado	729.17	733.72	-4.55	Ampla concorrência	Bacharelado	Integral	ODONTOLOGIA	SE	Lagarto	
Aprovado	740.26	657.66	82.60	Ampla concorrência	Licenciatura	Vespertino	PEDAGOGIA	SE	São Cristóvão	
Aprovado	740.26	651.19	89.07	Ampla concorrência	Licenciatura	Noturno	PEDAGOGIA	SE	São Cristóvão	
Aprovado	740.26	641.61	98.65	Ampla concorrência	Licenciatura	Noturno	PEDAGOGIA	SE	Itabaiana	
Reprovado	740.58	754.02	-13.44	Ampla concorrência	Bacharelado	Vespertino	PSICOLOGIA	SE	São Cristóvão	
Aprovado	747.89	702.54	45.35	Ampla concorrência	Bacharelado	Vespertino	PUBLICIDADE E PROPAGANDA	SE	São Cristóvão	
Aprovado	744.11	602.91	141.20	Ampla concorrência	Bacharelado	Vespertino	QUÍMICA	SE	São Cristóvão	
Aprovado	746.26	585.36	160.90	Ampla concorrência	Licenciatura	Noturno	QUÍMICA	SE	São Cristóvão	
Aprovado	746.26	558.00	188.26	Ampla concorrência	Licenciatura	Matutino	QUÍMICA	SE	Itabaiana	
Aprovado	763.66	614.39	149.27	Ampla concorrência	Bacharelado	Matutino	QUÍMICA INDUSTRIAL	SE	São Cristóvão	
Aprovado	713.08	710.08	3.00	Ampla concorrência	Bacharelado	Vespertino	RELAÇÕES INTERNACIONAIS	SE	São Cristóvão	
